integer_ID,latitude,longitude,name,start_date,end_date,type,address,description,image,bibliographic_citations,,,
47,44.98014,-93.27434,Rock-It Cards,09/10/1978,09/24/1978,gallery,510 1st ave. N.,,,"“Art Week.” Minneapolis Tribune. September 10, 1978, sec. entertainment/art.; “Art Week.” Minneapolis Tribune. September 24, 1978.
",,,
48,44.98084,-93.27351,Forecast Gallery,09/01/1978,06/01/1979,gallery,416 1st ave. N.,,https://digitalcollections.hclib.org/digital/collection/HRInc/id/521/rec/35,"“Art Week.” Minneapolis Tribune. November 12, 1978, sec. entertainment/arts.; Hegeman, William H. “Artist Becker’s Cooperative Effort Aimed at Filling a Gap in Galleries.” Minneapolis Tribune. September 10, 1978.; Hegeman, William H. “Looking at Art.” Minneapolis Tribune. June 10, 1979.
",,,
101,44.98016,-93.27525,Forecast Gallery,10/1/1981,10/31/1981,gallery,100 N. 5th st.,This was Forecast Gallery's second location in the Warehouse District. The owners of this space donated it to the gallery for the month of October.,,"Addington, Fran. “Looking at Art.” Minneapolis Tribune. October 18, 1981.
",,,
49,44.98079,-93.27345,Judith Stern Gallery,11/12/1978,06/03/1979,gallery,416 1st ave. N.,This was the Judith Stern Gallery's first location in the area.,https://digitalcollections.hclib.org/digital/collection/HRInc/id/521/rec/35,"“Art Week.” Minneapolis Tribune. November 12, 1978, sec. entertainment/arts.; “Art Week.” Minneapolis Tribune. June 10, 1979, sec. entertainment/arts.
",,,
50,44.98198,-93.27299,Judith Stern Gallery,06/10/1979,06/03/1984,gallery,118 N. 4th st.,This was the Judith Stern Gallery's second location in the area.,,"“Art Week.” Minneapolis Tribune. June 10, 1979, sec. entertainment/arts.; “Art This Week.” Minneapolis Tribune. June 3, 1984.
",,,
51,44.98389,-93.2692,Suzanne Kohn Gallery in the International Design Center,10/28/1984,05/01/1996,gallery,100 2nd ave N.,,,"Abbe, Mary. “Pioneer Gallery Owner Kohn to Close up Shop on May 1.” Minneapolis Star Tribune. January 27, 1996, sec. E.; “Art Week.” Minneapolis Tribune. April 1, 1979, sec. entertainment/arts.",,,
52,44.98072,-93.2736,Floyd Johnson  Gallery,03/24/1979,04/16/1982,gallery,420 1st ave. N.,,https://digitalcollections.hclib.org/digital/collection/HRInc/id/521/rec/35,"“Art This Week.” Minneapolis Tribune. April 11, 1982.; Sorensen, Tom. “He Can’t Read an Eye Chart, but He Creates and Sells Paintings.” Minneapolis Tribune. March 3, 1979.",,,
53,44.98185,-93.27318,D.K. Studios,09/25/1977,12/04/1983,gallery,120 N. 4th st.,,,"“2/ Calendar.” Minneapolis Tribune. September 25, 1977, sec. Entertainment/Arts/Books.; “Entertainment This Week.” Minneapolis Tribune. December 4, 1983.

",,,
54,44.98029,-93.27503,Butler Square Atrium,05/23/1976,09/21/1990,gallery,100 N. 6th st.,,,"“Music.” Minneapolis Tribune, May 23, 1976.; “Special Screenings.” Minneapolis Star Tribune. September 21, 1990.
",,,
55,44.9797,-93.27202,By Design,09/13/1981,12/24/1984,gallery,10 S. 5th st.,,,"“Art Week.” Minneapolis Tribune. September 13, 1981, sec. entertainment/arts.; “Art This Week.” Minneapolis Tribune. December 2, 1984.
",,,
56,44.98342,-93.2713,Performer's Ensemble,04/29/1979,09/30/1984,theater,127 Washington ave. N.,Performer's Ensemble was a theater that had art shows on occasion,,"“Auditions.” Minneapolis Star and Tribune. September 30, 1984.; “This Week’s Words and Music.” Minneapolis Tribune. April 29, 1979.
",,,
57,44.98325,-93.27104,One Seventeen Studios,06/13/1982,06/25/1982,gallery,117 Washington ave. N.,,,"“Art  Week.” Minneapolis Tribune. June 13, 1982, sec. entertainment/arts.",,,
58,44.98029,-93.27524,Avanyu Gallery,11/21/1982,07/27/1986,gallery,"100 N. 6th st., ste. 218",,,"“Art Highlights.” Minneapolis Star and Tribune. July 27, 1986.; “Art Week.” Minneapolis Tribune. November 21, 1982, sec. entertainment/arts.
",,,
59,44.9849,-93.27253,Sack's Gallery,12/12/1982,06/30/1985,gallery,308 Washington ave. N.,,,"“Art This Week.” Minneapolis Star and Tribune, June 16, 1985.; “Art Week.” Minneapolis Tribune. December 12, 1982, sec. entertainment/arts.
",,,
60,44.98064,-93.2738,Artist Studio 402 Kickernick,04/01/1983,01/31/1985,artist live/work space,402 1st ave. N.,"This was an artists living and studio space, but he sometimes used it as a gallery.",,"“Art This Week.” Minneapolis Tribune. April 17, 1983. Mike, Steele. “Is ‘The Way Home’ Art or a
Two-Month Billboard?” Minneapolis Tribune. January 14, 1985, sec. Variety.
",,,
61,44.98067,-93.27303,Imprimatur Minneapolis,06/19/1983,04/26/1987,gallery,415 1st ave. N.,,,"“Art Highlights.” Minneapolis Star and Tribune, April 26, 1987.; “Art Week.” Minneapolis Tribune. June 19, 1983, sec. entertainment/arts.
",,,
62,44.98066,-93.2737,Musitique ,06/05/1983,09/20/1984,gallery,430 1st ave. N.,,,"“Art This Week.” Minneapolis Tribune. June 5, 1983.; “Calendar of Events.” Minneapolis Star and Tribune. September 20, 1984.",,,
63,44.98071,-93.27373,Daedalus,08/18/1983,02/24/1985,gallery,430 1st ave. N.,"This was the second, and final, location of Daedalus in the Warehouse District. ",,"Abbe, Mary. “Art Moves.” Minneapolis Star Tribune. February 24, 1985.; “Art This Week.” Minneapolis Tribune. September 18, 1983, sec. entertainment/arts.",,,
64,44.98012,-93.27513,"Artbanque, Inc.",11/27/1983,03/07/1985,gallery,100 N. 6th st. ,"This was the first location Artbanque, Inc. held in the Warehouse District. ",,"Abbe, Mary. “Art Moves.” Minneapolis Star Tribune. February 24, 1985.; “Art This Week.” Minneapolis Tribune. November 27, 1983, sec. entertainment/arts.
",,,
65,44.98033,-93.27512,Winfield Walker Gallery,01/15/1984,09/22/1990,gallery,100 N. 6th st.,,,"“Art Highlights.” Minneapolis Star Tribune. September 30, 1990.; “Art This Week.” Minneapolis Tribune. January 15, 1984, sec. entertainment/arts.",,,
66,44.97978,-93.272,Exchange Gallery,02/19/1984,09/16/1990,gallery,10 S. 5th st.,,,"“Art Highlights.” Minneapolis Star Tribune, September 16, 1990.; “Art This Week.” Minneapolis Tribune. February 19, 1984, sec. entertainment/arts.",,,
67,44.98134,-93.2731,Thomas Barry Fine Art Gallery,09/09/1984,04/13/2006,gallery,400 1st ave. N.,,,"“Art.” Minneapolis Star Tribune. April 14, 2006.; “At Thomas Barry/ Inaugural Show.” Minneapolis Star and Tribune. September 9, 1984.
",,,
68,44.98132,-93.27335,Bockley Gallery ,10/7/1984,05/19/1995,gallery,400 1st ave. N.,,,"“Art.” Minneapolis Star and Tribune. October 7, 1984.; “Art Highlights.” Minneapolis Star Tribune, July 2, 1989.; “This Weekend.” Minneapolis Star Tribune. May 19, 1995, sec. Calendar.",,,
69,44.98141,-93.27317,MC Gallery,09/30/1984,06/30/1999,gallery,400 1st ave. N.,,,"“Art: Last Call at M.C. Gallery.” Minneapolis Star Tribune. May 21, 1999, sec. Calendar.; “Art This Week.” Minneapolis Star and Tribune. September 30, 1984.
",,,
70,44.98072,-93.2738,Craig Kraft Gallery,12/23/1984,06/25/1985,gallery,430 1st ave. N.,aka Kraft Gallery,,"“Art This Week.” Minneapolis Tribune. December 23, 1984, sec. entertainment/arts.; “Art This Week.” Minneapolis Star and Tribune. June 2, 1985.
",,,
71,44.98118,-93.27315,Peter M. David Gallery Inc.,05/12/1985,08/17/1991,gallery,400 1st ave. N.,,,"“Art.” Minneapolis Star Tribune. June 27, 1991.; “Art This Week.” Minneapolis Tribune. May 12, 1985, sec. entertainment/arts.
",,,
72,44.97983,-93.2718,Posters for Great Walls,06/23/1985,09/01/1987,gallery,425 Hennepin ave.,,,"“Art Highlights.” Minneapolis Star Tribune. August 30, 1987.; “Art This Week.” Minneapolis Tribune. June 23, 1985, sec. entertainment/arts.
",,,
73,44.98115,-93.27326,Fingerhut Gallery,10/18/1985,12/31/1985,gallery,400 1st ave. N.,,,"“A Group of Chinese Revolutionaries Has Just Captured Allan Fingerhut.” Minneapolis Star and Tribune. October 18, 1985.; “Art Highlights.” Minneapolis Star and Tribune. December 29, 1985.
",,,
74,44.97822,-93.27241,Dyckman Hotel,01/01/1910,11/18/1979,cage hotel,27 S. 6th st.,,,"El-Hai, Jack. “Dyckman Hotel.” In Lost Minnesota: Stories of Vanished Places. University of Minnesota Press, 2000.
",,,
75,44.97901,-93.27637,Jon Oulman Studio,02/25/1984,04/05/1986,gallery,123 N. 7th st.,Jon Oulman studio was both an art gallery and hair salon. This was its first location. ,,"“Art Highlights.” Minneapolis Star and Tribune. March 23, 1986.; “Art This Week.” Minneapolis Tribune. February 19, 1984.
",,,
100,44.98115,-93.27321,Jon Oulman Studio,06/01/1986,08/27/1999,gallery,400 1st ave. N.,Jon Oulman studio was both an art gallery and hair salon. This was its second location.,,"Abbe, Mary. “Avant-Garde Photo Gallery Moving to Wyman Building.” Minneapolis Star and Tribune. April 18, 1986.; “Art: Bye, Bye Blue.” Minneapolis Star Tribune. July 23, 1999, sec. Calendar.
",,,
76,44.98075,-93.2729,Medium West,03/17/1984,05/30/1987,gallery,413 1st ave. N.,,,"“Art Highlights.” Minneapolis Star and Tribune. May 24, 1987.; “Art This Week.” Minneapolis Star and Tribune. March 17, 1984, sec. entertainment/arts.
",,,
77,44.98177,-93.27375,Momentum Fine Arts,12/03/1985,06/15/1986,gallery,129 N. 4th st.,,,"Abbe, Mary. “Gaining Momentum.” Minneapolis Star and Tribune. December 1, 1985.; “Art Highlights.” Minneapolis Star and Tribune. June 15, 1986.
",,,
78,44.98114,-93.2733,Anderson & Anderson Gallery,05/31/1986,07/23/1994,gallery,400 1st ave. N.,,,"Abbe, Mary. “Critic’s Choice.” Minneapolis Star and Tribune. May 30, 1986.; Mack, Linda. “Around Town.” Minneapolis Star Tribune. July 10, 1994.

",,,
79,44.98262,-93.27196,Hui Arts,06/22/1986,09/16/1986,gallery,123 N. 3rd st.,,,"“Art Highlights.” Minneapolis Star and Tribune. June 22, 1986.; “Art Highlights.” Minneapolis Star and Tribune. September 14, 1986.

",,,
80,44.98124,-93.27338,Flanders Contemporary Art,07/26/1986,04/04/2004,gallery,400 1st ave. N.,,,"Abbe, Mary. “Flanders Fare.” Minneapolis Star and Tribune. August 17, 1986.; Hanson, Doug. “Down but Not Out.” Minneapolis Star Tribune. April 2, 2004, sec. Art.
",,,
81,44.98199,-93.27181,"Artbanque, Inc.",10/03/1986,08/31/1990,gallery,300 1st ave. N.,This was Artbanque Inc.'s second location in the Warehouse District.,,"“Art Highlights.” Minneapolis Star and Tribune. October 5, 1986, sec. Arts & Entertainment.; “Art Highlights.” Minneapolis Star Tribune. August 26, 1990.
",,,
82,44.9851,-93.272,Dillard Voigt Gallery,10/19/1986,06/20/1987,gallery,212 3rd ave. N. ,,,"“Art Highlights.” Minneapolis Star and Tribune. October 19, 1986.; “Art Highlights.” Minneapolis Star and Tribune. June 14, 1987.
",,,
83,44.98078,-93.27288,UCVideo Electronic Arts Gallery,09/26/1986,08/29/1987,gallery,413 1st ave. N.,,,"“Special Screenings.” Minneapolis Star and Tribune. September 26, 1986.; “Special Screenings.” Minneapolis Star and Tribune. August 28, 1987, sec. Calendar.
",,,
84,44.98512,-93.27189,Indigo,08/04/1986,09/30/1990,gallery,212 3rd ave. N.,This was Indigo's second location in the area. ,,"Abbe, Mary. “Gallery Roundup.” Minneapolis Star and Tribune, July 20, 1986.; “Art Highlights.” Minneapolis Star Tribune. September 16, 1990.
",,,
85,44.98131,-93.27318,MC Annex,04/04/1987,10/13/1990,gallery,"400 1st ave. N., ste. 312",aka Gallery C; MC Annex was owned by the same people as MC Gallery. ,,"“Art Highlights.” Minneapolis Star Tribune. October 7, 1990.; “M.C. Annex.” Minneapolis Star and Tribune, April 5, 1987.

",,,
86,44.98078,-93.27288,Intermedia Arts Gallery,9/25/1987,07/16/1994,gallery,413 1st ave. N.,"Formerly UCVideo, this media arts gallery reopened with a new name in September 1987.",,"Abbe, Mary. “Warehouse District Hellos and Goodbyes.” Minneapolis Star Tribune. July 3, 1994.; “Calendar of Events.” Minneapolis Star and Tribune. September 24, 1987.
",,,
87,44.98123,-93.2732,Flanders Graphics,02/27/1988,05/25/2002,gallery,400 1st ave. N.,,,"Abbe, Mary. “Also Noteworthy.” Minneapolis Star Tribune. May 3, 2002.; “Art Highlights.” Minneapolis Star Tribune. February 21, 1988.
",,,
88,44.98139,-93.27333,Collector's Studio II,04/03/1988,05/21/1988,gallery,400 1st ave. N.,,,"“Art Highlights.” Minneapolis Star Tribune. April 17, 1988.; “Art Highlights.” Minneapolis Star Tribune. May 1, 1988.

",,,
89,"
44.98137
3",-93.2732,Flanders Modern,04/03/1988,01/07/1989,gallery,400 1st ave. N.,,,"“Art Highlights.” Minneapolis Star and Tribune. April 3, 1988.; “Art Highlights.” Minneapolis Star Tribune. January 1, 1989.
",,,
90,44.98188,-93.27322,Geometrie,07/03/1988,08/28/1993,gallery,122 N. 4th st.,,,"“Art Highlights.” Minneapolis Star Tribune. July 3, 1988.; “Geometrie: Moving Sale.” Minneapolis Star Tribune. August 25, 1993.
",,,
91,44.98116,-93.27337,Pam Lesch Galleries,07/09/1988,11/26/1988,gallery,400 1st ave. N.,This was the Pam Lesch Gallery's second location in the Warehouse District.,,"Abbe, Mary. “Critic’s Choice/Exhibitions.” Minneapolis Star Tribune. July 8, 1988, sec. Calendar.; “Art Highlights.” Minneapolis Star Tribune. November 13, 1988.
",,,
92,44.97976,-93.27176,Lumber Exchange Gallery,09/11/1988,,gallery,10 S 5th street/ Lumber Exchange Building,,,"Minneapolis Star Tribune. 1988. “Art Highlights,” September 11, 1988.",,,
93,44.98121,-93.27331,Vaughan & Vaughan,09/10/1988,04/06/1991,gallery,400 1st ave. N.,,,"Abbe, Mary. “Art Weekend Spectacular.” Minneapolis Star Tribune. September 9, 1988, sec. Variety.; “Art Shows.” Minneapolis Star Tribune. April 4, 1991.
",,,
94,44.98125,-93.27311,Georgean's Art Gallery,10/23/1988,09/05/1991,gallery,400 1st ave. N.,,,"“Art.” Minneapolis Star Tribune. September 5, 1991.; “Art Highlights.” Minneapolis Star Tribune. October 23, 1988.
",,,
95,44.98307,-93.27081,Paul Albert Art Show,02/12/1988,05/30/1989,gallery,109 N. Washington ave.,,,"“Art Highlights.” Minneapolis Star Tribune. May 28, 1989.; Fuller, Jim. “The Rumor’s True; Runyon Plans to Open Old-Fashioned Bar and Grill.” Minneapolis Star Tribune. February 12, 1988.",,,
96,44.9813,-93.27344,Textile Arts International,04/01/1989,10/24/1989,gallery,400 1st ave. N.,,,"Abbe, Mary. “Ellen Wells Decides to Close Innovative Textile Arts Gallery.” Minneapolis Star Tribune. October 24, 1992.
",,,
97,44.98171,-93.27367,Generation Fine Art,07/30/1989,08/25/1989,gallery,119 N. 4th st.,,,"“Art Highlights.” Minneapolis Star Tribune, July 30, 1989.; “Art Highlights.” Minneapolis Star Tribune. August 20, 1989.
",,,
98,44.98128,-93.27328,Hastings Ruff Gallery,09/07/1989,01/25/1997,gallery,400 1st ave. N.,,,"“Art Highlights.” Minneapolis Star Tribune. September 3, 1989.; “Art: ‘Scott Stack, New Paintings.’” Minneapolis Star Tribune. January 17, 1997, sec. Calendar.
",,,
99,44.9813,-93.27354,Sonia's Gallery,05/27/1989,02/10/1993,gallery,400 1st ave. N.,,,"“Art Highlights.” Minneapolis Star Tribune. June 18, 1989.; “Art Shows.” Minneapolis Star Tribune. February 4, 1993.",,,
102,44.98345,-93.27132,WeWa Building,1970s,1995,artist housing,125-127 Washington av N,,,"Winegar, Karin. “Bye Bye Berman: Artists Dispersed by Closing of Scarce Studio Space.” Star Tribune. December 1, 1993, sec. Variety.; Roper, Eric. “Rehab Causes Rent Shock at Eclectic North Loop Lofts.” Star Tribune. October 6, 2014.
",,,
103,44.98538,-93.27074,Harmony building ,1970s,1995,artist housing,220-260 2nd av N,"While the building is still standing, it became too expensive for artists to afford by the mid 1990s",,"Winegar, Karin. “Bye Bye Berman: Artists Dispersed by Closing of Scarce Studio Space.” Star Tribune. December 1, 1993, sec. Variety.; Roper, Eric. “Rehab Causes Rent Shock at Eclectic North Loop Lofts.” Star Tribune. October 6, 2014.
",,,
104,44.98418,-93.26679,Berman Building,1970s,1994- demolition,artist housing,Hennepin av at N 1st street,,,"Winegar, Karin. “Bye Bye Berman: Artists Dispersed by Closing of Scarce Studio Space.” Star Tribune. December 1, 1993, sec. Variety.; http://www.historic-structures.com/mn/minneapolis/berman_buckskin_building.php",,,
105,44.97926,-93.27412,Essex Hotel,10/27/1927,04/30/1989,residential hotel,14 N. 6th st.,The Essex was a residential hotel with 39 rooms.,,"Brunswick, Mark. “Minneapolis Restaurant, Residential Hotel Burn.” Minneapolis Star and Tribune. May 1, 1989.; “Furnished Rooms to Let.” Minneapolis Morning Tribune. October 7, 1927.
",,,
106,44.97922,-93.27407,Fransen's bar,11/24/1937,04/30/1989,working class bar,16 N. 6th st.,Fransen's was a working class bar below the Essex Hotel. It was an important meeting space for labor unions.,,"Brunswick, Mark. “Minneapolis Restaurant, Residential Hotel Burn.” Minneapolis Star and Tribune. May 1, 1989.; “Corcoran Case Inquest Urged.” Minneapolis Tribune. November 24, 1937.
",,,
108,44.97695,-93.2769,Tourist Hotel,05/08/1928,12/07/1990,residential hotel,830 Hennpin ave.,This 32 room residential hotel was located above the Saloon. It underwent a number of changes in name but remained a residential hotel through the late 1990s.,,"Duluth07. “Memories of Gritty ’70’s & ’80’s Downtown Minneapolis (St. Paul: For Rent, Condos).” City-Data (blog), December 3, 2010.; Justin, Neal, and Kristin Tillotson. “Night Crawlers.” Minneapolis Star Tribune. October 28, 1994, sec. Variety.; Rigert, Joe. “Eddie Lemire’s Friends Wondered about His Death.” Minneapolis Tribune. July 21, 1974.; “TOURIST HOTEL.” Minneapolis Tribune. May 8, 1928, Morning edition.; Zack, Margaret. “Man Convicted of Slaying His Girldfriend.” Minneapolis Star Tribune. December 7, 1990.
",,,
109,44.97654,-93.27739,Fairmont Hotel,12/08/1909,07/24/1999,residential hotel,900-905 Hennepin ave.,"The Fairmont Hotel had 32 rooms. Upon its 1999 sale, it was one of the last residential hotels in Minneapolis. ",,"Diaz, Kevin. “Flophouse Residents Have an Ally against Developers: The City.” Minneapolis Star Tribune. July 24, 1999.; “Embezzlement Is Charged.” Minneapolis Tribune. December 8, 1910.
",,,
110,44.97864,-93.27661,Seville Hotel,12/29/1925,07/25/1999,residential hotel,15 Glenwood ave.,"The Seville was one of the last remaining residential hotels in Minneapolis. Images of it suggest it was small, and probably had around 30 rooms.",,"Diaz, Kevin. “Flophouse Residents Have an Ally against Developers: The City.” Minneapolis Star Tribune. July 24, 1999.; Newlund, Sam. “General Assistance Keeps This Man Going, but It Might Go Too.” Minneapolis Tribune. May 3, 1981.; “SYNDER--Millie.” Minneapolis Tribune. December 29, 1925, sec. Obituary.
",,,
111,44.98311,-93.27116,Yoshiko's ,10/14/1974,06/14/1980,sauna,117 Washington ave. N.,This seems to have been a sauna/brothel ,,"“Grand Opening.” Minneapolis Tribune. October 14, 1974.; “Yoshiko’s.” Minneapolis Tribune. June 14, 1980.
",,,
113,44.98346,-93.27762,New River's Press,03/12/1989,02/26/2001,nonprofit press,420 N 5th st,at least the 2nd location (was on Selby ave. before)- not in Minneapolis by February 2001,,"Wood, Dave. “Publisher Prospers in Minnesota.” Minneapolis Star and Tribune. March 12, 1989, sec. Arts & entertainment.; Zellar, Brad. “New Rivers Press Shuts Down.” Publisher’s Weekly 248, no. 9 (February 26, 2001): 25.
",,,
120,44.97643,-93.27754,Nirvona Health Club,,1988-ish,sauna,906 Hennepin ,,,http://tcalmanac.com/?page_id=32,,,
121,44.97908,-93.27557,Sakura,,October 1988 ,sauna,627 1st. av N,,,http://tcalmanac.com/?page_id=32,,,